Locus tag	Strand	Chr	Begin	End	Length (bp)	Length (aa)	Gene Name	Start codon	Operon	Product	Description	RAST info.	COG
lmo0363	-	NC_003210.1	389813	390430	618	205		ATG		hypothetical protein	similar to Salmonella typhimurium peptidase E	Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	Amino acid transport and metabolism
lmo0364	+	NC_003210.1	390529	391473	945	314		ATG		hypothetical protein - RAST_Product: Transcriptional regulator, DeoR family	similar to transcription regulator	Transcriptional regulator, DeoR family	Transcription
lmo0365	+	NC_003210.1	391604	393052	1449	482		ATG	Operon_062	hypothetical protein - RAST_Product: Ferrous iron transport permease EfeU	similar to conserved hypothetical protein	Ferrous iron transport permease EfeU	Inorganic ion transport and metabolism
lmo0366	+	NC_003210.1	393086	394246	1161	386		ATG	Operon_062	hypothetical protein - RAST_Product: Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	conserved hypothetical protein, putative lipoprotein	Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	Inorganic ion transport and metabolism
lmo0367	+	NC_003210.1	394264	395529	1266	421		ATG	Operon_062	hypothetical protein - RAST_Product: Ferrous iron transport peroxidase EfeB	conserved hypothetical protein similar to B. subtilis YwbN protein	Ferrous iron transport peroxidase EfeB	Inorganic ion transport and metabolism
lmo0368	+	NC_003210.1	395602	396111	510	169		GTG	Operon_063	hypothetical protein - RAST_Product: Putative Nudix hydrolase YfcD (EC 3.6.-.-)	similar to different proteins	Putative Nudix hydrolase YfcD (EC 3.6.-.-)	Replication, recombination and repair; General function prediction only;
lmo0369	+	NC_003210.1	396208	396927	720	239		ATG	Operon_063	hypothetical protein - RAST_Product: FIG007491: hypothetical protein YeeN	conserved hypothetical protein, highly similar to B. subtilis YeeI protein	FIG007491: hypothetical protein YeeN	Function unknown
lmo0370	+	NC_003210.1	396964	397299	336	111		ATG	Operon_063	hypothetical protein - RAST_Product: Alkylphosphonate utilization operon protein PhnA		Alkylphosphonate utilization operon protein PhnA	Inorganic ion transport and metabolism
lmo0371	-	NC_003210.1	397340	398053	714	237		ATG		hypothetical protein - RAST_Product: Transcriptional regulator, GntR family	similar to transcription regulator (GntR family)	Transcriptional regulator, GntR family	Transcription
lmo0372	+	NC_003210.1	398210	399652	1443	480		ATG	Operon_064	hypothetical protein - RAST_Product: Beta-glucosidase (EC 3.2.1.21)	similar to beta-glucosidase	Beta-glucosidase (EC 3.2.1.21)	Carbohydrate transport and metabolism
lmo0373	+	NC_003210.1	399645	400979	1335	444		ATG	Operon_064	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	similar to PTS betaglucoside-specific enzyme IIC component	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0374	+	NC_003210.1	400997	401299	303	100		ATG	Operon_064	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	similar to PTS betaglucoside-specific enzyme IIB component	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0375	+	NC_003210.1	401386	401580	195	64		ATG		hypothetical protein - RAST_Product: FIG00774374: hypothetical protein	lmo0375	FIG00774374: hypothetical protein	Not in COGs
lmo0376	-	NC_003210.1	401619	402539	921	306		ATG		hypothetical protein - RAST_Product: Transcriptional regulator, DeoR family	similar to putative transcription regulator	Transcriptional regulator, DeoR family	Transcription
lmo0377	+	NC_003210.1	402641	403060	420	139		ATG		hypothetical protein - RAST_Product: FIG00774253: hypothetical protein	lmo0377	FIG00774253: hypothetical protein	Not in COGs
lmo0378	+	NC_003210.1	403279	403725	447	148		TTG		hypothetical protein - RAST_Product: FIG00774829: hypothetical protein	lmo0378	FIG00774829: hypothetical protein	Not in COGs
lmo0379	+	NC_003210.1	403743	404198	456	151		ATG		hypothetical protein - RAST_Product: FIG00774463: hypothetical protein	lmo0379	FIG00774463: hypothetical protein	Not in COGs
lmo0380	+	NC_003210.1	404365	404994	630	209		ATG		hypothetical protein - RAST_Product: FIG00774330: hypothetical protein	lmo0380	FIG00774330: hypothetical protein	Not in COGs
lmo0381	+	NC_003210.1	405221	405607	387	128		ATG		hypothetical protein - RAST_Product: FIG00774936: hypothetical protein	lmo0381	FIG00774936: hypothetical protein	Not in COGs
lmo0382	-	NC_003210.1	405680	406441	762	253		ATG		hypothetical protein - RAST_Product: Transcriptional repressor of the myo-inositol catabolic operon DeoR family	similar to B. subtilis transcription repressor of myo-inositol catabolism operon IolR	Transcriptional repressor of the myo-inositol catabolic operon DeoR family	Transcription; Carbohydrate transport and metabolism;
lmo0383	+	NC_003210.1	406637	408103	1467	488		ATG	Operon_065	hypothetical protein - RAST_Product: Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	highly similar to B. subtilis methylmalonate-semialdehyde dehydrogenase IolA	Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	Energy production and conversion
lmo0384	+	NC_003210.1	408116	408937	822	273		ATG	Operon_065	hypothetical protein - RAST_Product: 5-deoxy-glucuronate isomerase (EC 5.3.1.-)	similar to B. subtilis IolB protein	5-deoxy-glucuronate isomerase (EC 5.3.1.-)	Carbohydrate transport and metabolism
lmo0385	+	NC_003210.1	408954	409931	978	325		ATG	Operon_065	hypothetical protein - RAST_Product: 5-keto-2-deoxygluconokinase (EC 2.7.1.92)	similar to B. subtilis IolC protein and to fructokinase	5-keto-2-deoxygluconokinase (EC 2.7.1.92)	Carbohydrate transport and metabolism
lmo0386	+	NC_003210.1	409944	411860	1917	638		GTG	Operon_065	hypothetical protein	similar to B. subtilis IolD protein, to acetolactate synthase	Epi-inositol hydrolase (EC 3.7.1.-)	Amino acid transport and metabolism
lmo0387	+	NC_003210.1	411992	412363	372	123		ATG	Operon_066	hypothetical protein - RAST_Product: FIG00774639: hypothetical protein	similar to B. subtilis YhdG protein	FIG00774639: hypothetical protein	Function unknown
lmo0388	+	NC_003210.1	412457	412825	369	122		ATG	Operon_066	hypothetical protein - RAST_Product: FIG00774531: hypothetical protein	lmo0388	FIG00774531: hypothetical protein	Not in COGs
lmo0389	-	NC_003210.1	412849	413964	1116	371	ltrA	GTG		low temperature requirement protein A		Low temperature requirement protein A	Function unknown
lmo0390	+	NC_003210.1	414095	414760	666	221		ATG		uracil-DNA glycosylase	similar to uracil-DNA glycosylase  Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine	Uracil-DNA glycosylase, family 1	Replication, recombination and repair
lmo0391	+	NC_003210.1	414928	415227	300	99		TTG	Operon_067	hypothetical protein - RAST_Product: FIG00774566: hypothetical protein	lmo0391	FIG00774566: hypothetical protein	Posttranslational modification, protein turnover, chaperones
lmo0392	+	NC_003210.1	415224	416168	945	314		ATG	Operon_067	hypothetical protein - RAST_Product: DUF1432 domain-containing protein	highly similar to B. subtilis YqfA protein	DUF1432 domain-containing protein	Function unknown
lmo0393	+	NC_003210.1	416203	416652	450	149		ATG	Operon_067	hypothetical protein - RAST_Product: FIG00774100: hypothetical protein	lmo0393	FIG00774100: hypothetical protein	Not in COGs
lmo0394	+	NC_003210.1	416796	417479	684	227		TTG		hypothetical protein	similar to L. monocytogenes extracellular P60 protein	peptidoglycan lytic protein P45	Cell wall/membrane biogenesis
lmo0395	+	NC_003210.1	417535	417960	426	141		ATG		hypothetical protein - RAST_Product: acetyltransferase, GNAT family	weakly similar to blasticidin S-acetyltransferase	acetyltransferase, GNAT family	Transcription; General function prediction only;
lmo0396	-	NC_003210.1	417963	418763	801	266	proC	ATG		pyrroline-5-carboxylate reductase	similar to 1-pyrroline-5-carboxylate reductase (ProC)  catalyzes the formation of L-proline from pyrroline-5-carboxylate	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	Amino acid transport and metabolism
lmo0397	+	NC_003210.1	418891	419373	483	160		ATG		hypothetical protein - RAST_Product: FIG00774136: hypothetical protein		FIG00774136: hypothetical protein	Function unknown
lmo0398	+	NC_003210.1	419544	420002	459	152		ATG	Operon_068	hypothetical protein - RAST_Product: PTS system, IIA component	similar to phosphotransferase system enzyme IIA	PTS system, IIA component	Carbohydrate transport and metabolism; Signal transduction mechanisms;
lmo0399	+	NC_003210.1	419999	420331	333	110		ATG	Operon_068	hypothetical protein - RAST_Product: PTS system, IIB component	similar to fructose-specific phosphotransferase enzyme IIB	PTS system, IIB component	Carbohydrate transport and metabolism
lmo0400	+	NC_003210.1	420335	421447	1113	370		ATG	Operon_068	hypothetical protein - RAST_Product: PTS system, fructose-specific, IIC component	similar to fructose-specific phosphotransferase enzyme IIC	PTS system, fructose-specific, IIC component	Carbohydrate transport and metabolism
lmo0401	+	NC_003210.1	421469	424096	2628	875		ATG	Operon_068	alpha-mannosidase	highly similar to E. col YbgG protein, a putative sugar hydrolase	Alpha-mannosidase (EC 3.2.1.24)	Carbohydrate transport and metabolism
lmo0402	+	NC_003210.1	424130	426064	1935	644		ATG	Operon_068	hypothetical protein - RAST_Product: PRD/PTS system IIA 2 domain protein	similar to transcriptional antiterminator (BglG family)	PRD/PTS system IIA 2 domain protein	Transcription; Carbohydrate transport and metabolism;
lmo0403	+	NC_003210.1	426190	426606	417	138		ATG	Operon_069	hypothetical protein - RAST_Product: FIG00774247: hypothetical protein	lmo0403	FIG00774247: hypothetical protein	Not in COGs
lmo0404	+	NC_003210.1	426597	426995	399	132		ATG	Operon_069	hypothetical protein - RAST_Product: FIG00774624: hypothetical protein	lmo0404	FIG00774624: hypothetical protein	Not in COGs
lmo0405	+	NC_003210.1	427104	428111	1008	335		ATG	Operon_070	hypothetical protein - RAST_Product: Probable low-affinity inorganic phosphate transporter	similar to phosphate transport protein	Probable low-affinity inorganic phosphate transporter	Inorganic ion transport and metabolism
lmo0406	+	NC_003210.1	428127	428507	381	126		ATG	Operon_070	hypothetical protein - RAST_Product: Possible glyoxylase family protein (Lactoylglutathione lyase) (EC 4.4.1.5)	similar to B. subtilis YyaH protein	Possible glyoxylase family protein (Lactoylglutathione lyase) (EC 4.4.1.5)	Amino acid transport and metabolism
lmo0407	+	NC_003210.1	428576	428968	393	130		ATG	Operon_070	hypothetical protein - RAST_Product: FIG00774041: hypothetical protein	lmo0407	FIG00774041: hypothetical protein	Function unknown
lmo0408	+	NC_003210.1	428981	429403	423	140		ATG	Operon_070	hypothetical protein - RAST_Product: FIG00774518: hypothetical protein	lmo0408	FIG00774518: hypothetical protein	Function unknown
lmo0409	+	NC_003210.1	429630	432095	2466	821		ATG		hypothetical protein - RAST_Product: Internalin-like protein (LPXTG motif) Lmo0409 homolog	similar to internalin, peptidoglycan bound protein (LPxTG motif)	Internalin-like protein (LPXTG motif) Lmo0409 homolog	Cell wall/membrane biogenesis
lmo0410	-	NC_003210.1	432143	433249	1107	368		ACA		Pseudo-gene or RefSeq provisional			Not in COGs
lmo0411	-	NC_003210.1	433153	434745	1593	530		ATG	Operon_071	phosphoenolpyruvate synthase	similar to phosphoenolpyruvate synthase (N-terminal part)  catalyzes the formation of phosphoenolpyruvate from pyruvate	Phosphoenolpyruvate synthase (EC 2.7.9.2)	Carbohydrate transport and metabolism
lmo0412	-	NC_003210.1	434945	435817	873	290		ATG		hypothetical protein	lmo0412	FIG00774089: hypothetical protein	Not in COGs
lmo0413	+	NC_003210.1	436161	436352	192	63		ATG	Operon_072	hypothetical protein - RAST_Product: FIG00774444: hypothetical protein	lmo0413	FIG00774444: hypothetical protein	Not in COGs
lmo0414	+	NC_003210.1	436379	437188	810	269		TTG	Operon_072	hypothetical protein - RAST_Product: Metal transporter, ZIP family		Metal transporter, ZIP family	Inorganic ion transport and metabolism
lmo0415	+	NC_003210.1	437482	438882	1401	466		GTG		hypothetical protein	similar to endo-1,4-beta-xylanase	Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)	Cell wall/membrane biogenesis
lmo0416	+	NC_003210.1	439009	439212	204	67		TTG		hypothetical protein - RAST_Product: DNA-binding protein	similar to putative transcription regulator	DNA-binding protein	Transcription
lmo0417	+	NC_003210.1	439214	439624	411	136		ATG		hypothetical protein - RAST_Product: FIG00774627: hypothetical protein	lmo0417	FIG00774627: hypothetical protein	Not in COGs
lmo0418	-	NC_003210.1	439677	439976	300	99		ATG	Operon_073	hypothetical protein - RAST_Product: FIG00774772: hypothetical protein	lmo0418	FIG00774772: hypothetical protein	Replication, recombination and repair
lmo0419	-	NC_003210.1	440056	440610	555	184		TTG	Operon_073	hypothetical protein - RAST_Product: membrane protein		membrane protein	Function unknown
lmo0420	+	NC_003210.1	440758	441570	813	270		ATG		hypothetical protein - RAST_Product: Cof-like hydrolase		Cof-like hydrolase	General function prediction only
lmo0421	-	NC_003210.1	441622	442872	1251	416		ATG	Operon_074	hypothetical protein - RAST_Product: Cell division protein FtsW	similar to rod shape-determining protein RodA	Cell division protein FtsW	Cell cycle control, mitosis and meiosis
lmo0422	-	NC_003210.1	442869	443300	432	143	lstR	ATG	Operon_074	lineage-specific thermal regulator protein	part of sigC operon that is induced by temperature upshift	Transcriptional regulator, PadR family	Transcription
lmo0423	-	NC_003210.1	443303	443851	549	182		ATG	Operon_074	RNA polymerase factor sigma C	similar to RNA polymerase ECF-type sigma factor  part of sigC operon induced by temperature upshift	RNA polymerase sigma-70 factor, ECF subfamily	Transcription
lmo0424	-	NC_003210.1	444031	444888	858	285		ATG		hypothetical protein - RAST_Product: sugar transporter	similar to Staphylococcus xylosus glucose uptake protein	sugar transporter	Carbohydrate transport and metabolism
lmo0425	+	NC_003210.1	445049	447010	1962	653		ATG	Operon_075	hypothetical protein - RAST_Product: PRD/PTS system regulatory domain protein	similar to transcription antiterminator BglG family	PRD/PTS system regulatory domain protein	Transcription; Carbohydrate transport and metabolism; Signal transduction mechanisms;
lmo0426	+	NC_003210.1	447010	447474	465	154		ATG	Operon_075	hypothetical protein - RAST_Product: PTS system, fructose-specific IIA component (EC 2.7.1.69)	similar to PTS fructose-specific enzyme IIA component	PTS system, fructose-specific IIA component (EC 2.7.1.69)	Carbohydrate transport and metabolism; Signal transduction mechanisms;
lmo0427	+	NC_003210.1	447471	447791	321	106		ATG	Operon_075	hypothetical protein - RAST_Product: PTS system, fructose-specific IIB component (EC 2.7.1.69)	similar to PTS fructose-specific enzyme IIB component	PTS system, fructose-specific IIB component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0428	+	NC_003210.1	447804	448910	1107	368		ATG	Operon_075	hypothetical protein - RAST_Product: PTS system, IIC component	similar to PTS fructose-specific enzyme IIC component	PTS system, IIC component	Carbohydrate transport and metabolism
lmo0429	+	NC_003210.1	448926	451508	2583	860		ATG	Operon_075	hypothetical protein - RAST_Product: Alpha-mannosidase (EC 3.2.1.24)	similar to sugar hydrolase	Alpha-mannosidase (EC 3.2.1.24)	Carbohydrate transport and metabolism
lmo0430	-	NC_003210.1	451531	452406	876	291		ATG		hypothetical protein - RAST_Product: transcriptional regulator, LysR family	similar to transcriptional regulator (LysR family)	transcriptional regulator, LysR family	Transcription
lmo0431	+	NC_003210.1	452524	453093	570	189		ATG	Operon_076	hypothetical protein - RAST_Product: Maltose O-acetyltransferase (EC 2.3.1.79)	similar to acetyltransferase	Maltose O-acetyltransferase (EC 2.3.1.79)	General function prediction only
lmo0432	+	NC_003210.1	453107	453853	747	248		ATG	Operon_076	hypothetical protein - RAST_Product: oxidoreductase, short-chain dehydrogenase/reductase family	similar to oxidoreductase	oxidoreductase, short-chain dehydrogenase/reductase family	General function prediction only
lmo0433	+	NC_003210.1	454534	456936	2403	800	inlA	GTG	Operon_077	internalin A		Internalin A (LPXTG motif)	Cell wall/membrane biogenesis
lmo0434	+	NC_003210.1	457021	458913	1893	630	inlB	GTG	Operon_077	internalin B		Internalin B (GW modules)	Cell wall/membrane biogenesis
lmo0435	+	NC_003210.1	459681	465722	6042	2013		TTG		peptidoglycan binding protein		Putative peptidoglycan bound protein (LPXTG motif) Lmo0435 homolog	Not in COGs
lmo0436	-	NC_003210.1	465934	466419	486	161		TTG		hypothetical protein - RAST_Product: Rrf2 family transcriptional regulator, group III		Rrf2 family transcriptional regulator, group III	Transcription
lmo0437	+	NC_003210.1	466517	467362	846	281		ATG		hypothetical protein - RAST_Product: NADPH:quinone oxidoreductase 2  possible protective/detoxification role		NADPH:quinone oxidoreductase 2  possible protective/detoxification role	Cell wall/membrane biogenesis; Carbohydrate transport and metabolism;
lmo0438	+	NC_003210.1	467519	468136	618	205		GTG		hypothetical protein	lmo0438	FIG00775048: hypothetical protein	Not in COGs
lmo0439	-	NC_003210.1	468169	469437	1269	422		ATG		hypothetical protein - RAST_Product: Siderophore/Surfactin synthetase related protein	weakly similar to a module of peptide synthetase	Siderophore/Surfactin synthetase related protein	General function prediction only
lmo0440	+	NC_003210.1	469575	470078	504	167		ATG		hypothetical protein - RAST_Product: FIG00774042: hypothetical protein	lmo0440	FIG00774042: hypothetical protein	Not in COGs
lmo0441	-	NC_003210.1	470122	472158	2037	678		ATG		hypothetical protein - RAST_Product: Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	similar to penicillin-binding protein (D-alanyl-D-alanine carboxypeptidase)	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	Cell wall/membrane biogenesis
lmo0442	+	NC_003210.1	472330	472644	315	104		ATG		hypothetical protein - RAST_Product: FIG00774675: hypothetical protein	lmo0442	FIG00774675: hypothetical protein	Not in COGs
lmo0443	+	NC_003210.1	472781	473710	930	309		ATG		hypothetical protein - RAST_Product: Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1 (as in PMID19099556)	similar to B. subtilis transcription regulator LytR	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1 (as in PMID19099556)	Transcription
lmo0444	+	NC_003210.1	473936	476716	2781	926		ATG		hypothetical protein - RAST_Product: FIG00776024: hypothetical protein		FIG00776024: hypothetical protein	Function unknown
lmo0445	+	NC_003210.1	476960	478447	1488	495		ATG		hypothetical protein - RAST_Product: FIG00775532: hypothetical protein	similar to transcription regulator	FIG00775532: hypothetical protein	Transcription
lmo0446	+	NC_003210.1	478721	479710	990	329		ATG		hypothetical protein - RAST_Product: Choloylglycine hydrolase	similar to penicillin acylase and to conjugated bile acid hydrolase	Choloylglycine hydrolase	Cell wall/membrane biogenesis
lmo0447	+	NC_003210.1	479765	481153	1389	462		ATG		hypothetical protein - RAST_Product: Glutamate decarboxylase (EC 4.1.1.15)	similar to glutamate decarboxylase	Glutamate decarboxylase (EC 4.1.1.15)	Amino acid transport and metabolism
lmo0448	+	NC_003210.1	481250	482701	1452	483		ATG		hypothetical protein - RAST_Product: Probable glutamate/gamma-aminobutyrate antiporter	similar to amino acid antiporter	Probable glutamate/gamma-aminobutyrate antiporter	Amino acid transport and metabolism
lmo0449	+	NC_003210.1	483166	483891	726	241		ATG		hypothetical protein - RAST_Product: membrane protein	lmo0449	membrane protein	Not in COGs
lmo0450	-	NC_003210.1	483934	484599	666	221		ATG	Operon_078	hypothetical protein - RAST_Product: FIG00774755: hypothetical protein		FIG00774755: hypothetical protein	Function unknown
lmo0451	-	NC_003210.1	484620	485375	756	251		ATG	Operon_078	hypothetical protein - RAST_Product: FIG00774112: hypothetical protein	lmo0451	FIG00774112: hypothetical protein	Signal transduction mechanisms
lmo0452	-	NC_003210.1	485493	487652	2160	719		ATG	Operon_079	hypothetical protein - RAST_Product: FIG001454: Transglutaminase-like enzymes, putative cysteine proteases		FIG001454: Transglutaminase-like enzymes, putative cysteine proteases	Amino acid transport and metabolism
lmo0453	-	NC_003210.1	487649	488797	1149	382		ATG	Operon_079	hypothetical protein		FIG002343: hypothetical protein	General function prediction only
lmo0454	-	NC_003210.1	488802	489749	948	315		ATG	Operon_079	hypothetical protein - RAST_Product: FIG022979: MoxR-like ATPases	conserved hypothetical protein similar to B. subtilis YeaC	FIG022979: MoxR-like ATPases	General function prediction only
lmo0455	+	NC_003210.1	489905	491500	1596	531		TTG		hypothetical protein - RAST_Product: Regulator of polyketide synthase expression		Regulator of polyketide synthase expression	Signal transduction mechanisms; Secondary metabolites biosynthesis, transport and catabolism;
lmo0456	+	NC_003210.1	491634	492917	1284	427		ATG	Operon_080	hypothetical protein - RAST_Product: Cytosine/purine/uracil/thiamine/allantoin permease family protein	similar to permeases	Cytosine/purine/uracil/thiamine/allantoin permease family protein	Nucleotide transport and metabolism
lmo0457	+	NC_003210.1	492918	494018	1101	366		ATG	Operon_080	hypothetical protein - RAST_Product: Conservative hypothetical protein probably involved in hydantoin, pyrimidine utilization		Conservative hypothetical protein probably involved in hydantoin, pyrimidine utilization	Function unknown
lmo0458	+	NC_003210.1	494011	495561	1551	516		ATG	Operon_080	hypothetical protein - RAST_Product: N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	similar to hydantoinase	N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	Amino acid transport and metabolism; Secondary metabolites biosynthesis, transport and catabolism;
lmo0459	+	NC_003210.1	496381	497919	1539	512		ATG		hypothetical protein - RAST_Product: Conserved domain protein	similar to transcription regulator (VirR from Streptococcus pyogenes)	Conserved domain protein	Not in COGs
lmo0460	+	NC_003210.1	498171	500240	2070	689		ATG		putative membrane associated lipoprotein		Conserved domain protein	Function unknown
lmo0461	+	NC_003210.1	500306	500779	474	157		ATG		hypothetical protein - RAST_Product: FIG00774095: hypothetical protein	lmo0461	FIG00774095: hypothetical protein	Not in COGs
lmo0462	+	NC_003210.1	500799	501284	486	161		ATG		hypothetical protein - RAST_Product: FIG00775202: hypothetical protein	lmo0462	FIG00775202: hypothetical protein	Not in COGs
lmo0463	+	NC_003210.1	501312	501617	306	101		TTG		hypothetical protein - RAST_Product: Putative peptidoglycan bound protein (LPXTG motif) Lmo0463 homolog	lmo0463	Putative peptidoglycan bound protein (LPXTG motif) Lmo0463 homolog	Not in COGs
lmo0464	+	NC_003210.1	501693	501959	267	88		ATG		hypothetical protein	weakly similar to transposase	transposase OrfA, IS3 family, putative	Replication, recombination and repair
lmo0465	-	NC_003210.1	502424	502660	237	78		ATG		hypothetical protein			Not in COGs
lmo0466	+	NC_003210.1	502899	504629	1731	576		ATG	Operon_081	hypothetical protein - RAST_Product: Lmo0466 protein	lmo0466	Lmo0466 protein	Not in COGs
lmo0467	+	NC_003210.1	504674	504997	324	107		ATG	Operon_081	hypothetical protein	lmo0467		Not in COGs
lmo0468	+	NC_003210.1	504972	505277	306	101		GTG	Operon_081	hypothetical protein	lmo0468		Not in COGs
lmo0469	+	NC_003210.1	505351	506223	873	290		TTG	Operon_081	hypothetical protein - RAST_Product: FIG00776455: hypothetical protein	lmo0469	FIG00776455: hypothetical protein	Not in COGs
lmo0470	+	NC_003210.1	506368	506997	630	209		TTG		hypothetical protein - RAST_Product: Adenine-specific methyltransferase (EC 2.1.1.72)	weakly similar to site-specific DNA-methyltransferase	Adenine-specific methyltransferase (EC 2.1.1.72)	Replication, recombination and repair
lmo0471	+	NC_003210.1	507723	508733	1011	336		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo0471	hypothetical protein	Not in COGs
lmo0472	+	NC_003210.1	509400	510287	888	295		TTG	Operon_082	hypothetical protein	lmo0472	FIG00776455: hypothetical protein	Not in COGs
lmo0473	+	NC_003210.1	510127	511212	1086	361		AGG		Pseudo-gene or RefSeq provisional		FIG00775205: hypothetical protein	Not in COGs
lmo0474	+	NC_003210.1	511215	511562	348	115		ATG	Operon_082	hypothetical protein - RAST_Product: FIG00775121: hypothetical protein	lmo0474	FIG00775121: hypothetical protein	Not in COGs
lmo0475	+	NC_003210.1	511966	512208	243	80		GTG	Operon_082	hypothetical protein	lmo0475	hypothetical protein	Not in COGs
lmo0476	-	NC_003210.1	512291	513268	978	325		ATG		hypothetical protein	similar to oxetanocin A resistance protein oxrB	Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	General function prediction only
lmo0477	+	NC_003210.1	514004	514381	378	125		ATG		putative secreted protein		putative secreted protein	Not in COGs
lmo0478	+	NC_003210.1	514681	515058	378	125		ATG		putative secreted protein		putative secreted protein	Not in COGs
lmo0479	+	NC_003210.1	515391	515750	360	119		ATG		putative secreted protein		putative secreted protein	Not in COGs
lmo0480	+	NC_003210.1	516076	516636	561	186		ATG	Operon_083	hypothetical protein - RAST_Product: Transcriptional regulator, TetR family	similar to putative transcriptional regulator	Transcriptional regulator, TetR family	Transcription
lmo0481	+	NC_003210.1	516746	518446	1701	566		ATG	Operon_083	myosin-cross-reactive antigen	in group A Streptococci this protein was found to cross react with anti myosin antibodies and may play a role in rheumatic fever	antigen, putative	Function unknown
lmo0482	+	NC_003210.1	518597	519700	1104	367		ATG		ribosomal RNA large subunit methyltransferase N	similar to conserved hypothetical proteins, highly similar to B. subtilis YloN protein  23S rRNA m2A2503 methyltransferase  methylates the C2 position of the A2530 nucleotide in 23S rRNA  may be involved in antibiotic resistance	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	General function prediction only
lmo0483	+	NC_003210.1	519789	520268	480	159		ATG		hypothetical protein - RAST_Product: Transcriptional regulator, AraC family	lmo0483	Transcriptional regulator, AraC family	Function unknown
lmo0484	+	NC_003210.1	520426	520791	366	121		ATG		heme-degrading monooxygenase IsdG	lmo0484  iron regulated  catalyzes the release of heme from hemoglobin allowing bacterial pathogens to use the host heme as an iron source	conserved hypothetical protein	General function prediction only
lmo0485	+	NC_003210.1	520961	521536	576	191		ATG		hypothetical protein - RAST_Product: Putative nitroreductase family protein SACOL0874	lmo0485	Putative nitroreductase family protein SACOL0874	Energy production and conversion
lmo0486	+	NC_003210.1	521601	521771	171	56	rpmF	ATG		50S ribosomal protein L32	some L32 proteins have zinc finger motifs consisting of CXXC while others do not	LSU ribosomal protein L32p	Translation
lmo0487	+	NC_003210.1	521863	522591	729	242		ATG		hypothetical protein - RAST_Product: ADP-ribose pyrophosphatase (EC 3.6.1.13)	lmo0487	ADP-ribose pyrophosphatase (EC 3.6.1.13)	Nucleotide transport and metabolism
lmo0488	-	NC_003210.1	522628	523521	894	297		ATG		hypothetical protein - RAST_Product: transcriptional regulator, LysR family	similar to transcriptional regulator (LysR family)	transcriptional regulator, LysR family	Transcription
lmo0489	+	NC_003210.1	523719	525713	1995	664		ATG		hypothetical protein - RAST_Product: 2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	similar to NADH:flavin oxidoreductase	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	Energy production and conversion; General function prediction only;
lmo0490	+	NC_003210.1	525813	526688	876	291	aroE	ATG	Operon_084	shikimate 5-dehydrogenase	similar to shikimate 5-dehydrogenase  AroE  catalyzes the conversion of shikimate to 3-dehydroshikimate	Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)	Amino acid transport and metabolism
lmo0491	+	NC_003210.1	526754	527512	759	252	aroD	ATG	Operon_084	3-dehydroquinate dehydratase	similar to 3-dehydroquinate dehydratase  catalyzes the dehydration of 3-dehydroquinate to form 3-dehydroshikimate in aromatic amino acid biosynthesis	3-dehydroquinate dehydratase I (EC 4.2.1.10)	Amino acid transport and metabolism
lmo0492	-	NC_003210.1	527580	528488	909	302		ATG		hypothetical protein - RAST_Product: transcriptional regulator, LysR family	similar to transcriptional regulator (LysR family)	transcriptional regulator, LysR family	Transcription
lmo0493	-	NC_003210.1	528563	530323	1761	586		ATG		hypothetical protein - RAST_Product: hydrolase, CocE/NonD family	similar to acylase	hydrolase, CocE/NonD family	General function prediction only
